tweets,processed,sentiment
Crypto Prices (USD/₿)  Bitcoin ➦ $59156.2216➷ Ethereum ➦ $3773.1915➷ Binance ➦ $459.1242➶ Cardano ➦ $2.1483➷ Tether ➦ $1.0001 Litecoin ➦ $179.0462➷ Doge ➦ $0.2137➶  #Crypto #Bitcoin #Ethereum #Binance #Cardano #Tether #Litecoin #Doge,crypto price usd bitcoin ethereum binanc cardano tether litecoin doge # crypto # bitcoin # ethereum # binanc # cardano # tether # litecoin # doge,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@lcx It $DVPN #Sentinel  #Sentinel  create a global bandwidth marketplace that can be utilised by centralised #VPN organisations, so that they become the protocol that facilitates the exchange between bandwidth providers and VPNs. https://t.co/Cr0DO2gvbR",dvpn # sentinel # sentinel creat global bandwidth marketplac utilis centralis # vpn organis becom protocol facilit exchang bandwidth provid vpn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
New TokenFights Listing: Yarloo $YARL #TokenFights #YARL #Yarloo #crypto #trading @Yarloo_RST Go vote! https://t.co/oA7zqRqFxS,new tokenfight list yarloo yarl # tokenfight # yarl # yarloo # crypto # trade go vote,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@ShoeFyio Good Project, Wonderful  project, this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future and the cryptocurrency will be the best.  @dlspineda  @DPF535VRcSUVbdI  @tacasi1",good project wonder project thi project veri good thi projector ha lot attract hope project better futur cryptocurr best,"{'neg': 0.0, 'neu': 0.367, 'pos': 0.633, 'compound': 0.9623}"
@SookyBlessingtn Did you ever get into crypto??,ever get crypto,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"CRYPTO NEWS:  Indian Exchange #BuyUCoin Suffers Security Breach Affecting 160,000 Users https://t.co/RvxcbH7564 #bitcoin #crypto #cryptocoin #cryptocurrency #cryptocurrently #exchanges #hack #india #livecoin #marketanalysis #russia",crypto new indian exchang # buyucoin suffer secur breach affect user # bitcoin # crypto # cryptocoin # cryptocurr # cryptocurr # exchang # hack # india # livecoin # marketanalysi # russia,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5423}"
@crypto_bearr @SolacticGUARD Done thank you https://t.co/IdbSyNBdou,done thank,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}"
@Whateverismyna3 Send me a dm,send dm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@TrustWallet #NFTBOOKS is not just a simple cryptocurrency project it is also a special education project. Contribute to the development of education through reading to learn. #WeAreRealBookers #BookSwarmArmy $NFTBS https://t.co/269xVSl97F https://t.co/5JysdlgSTl https://t.co/ptSQmaSiiN,# nftbook simpl cryptocurr project also special educ project contribut develop educ read learn # wearerealbook # bookswarmarmi nftb,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}"
"Morgan Stanley CEO Says #Bitcoin Is Not a Fad, #Crypto Is Not Going Away https://t.co/mX8WpJEJ1m  #Crypto #NFTMARKET #bitcoin #btc #cryptonewsdaily #cryptocurrency #blockchains  #etherium #dogecoin #CBDC #SolanaNFTs #cryptocurrencies #CryptoNews #NFTMARKET https://t.co/MYF8iaqrj8",morgan stanley ceo say # bitcoin fad # crypto go away # crypto # nftmarket # bitcoin # btc # cryptonewsdaili # cryptocurr # blockchain # etherium # dogecoin # cbdc # solananft # cryptocurr # cryptonew # nftmarket,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.2263}"
CRYPTO NEWS:  #Crypto adoption in sights: Regulators and industry join to fight ransomware https://t.co/eFvBVSc2nI #altcoin #altcoinnews #cryptocoin #cryptocurrency https://t.co/IJPxaBEPVk,crypto new # crypto adopt sight regul industri join fight ransomwar # altcoin # altcoinnew # cryptocoin # cryptocurr,"{'neg': 0.149, 'neu': 0.629, 'pos': 0.223, 'compound': 0.0772}"
"@gabrieljesus9 MINIFOOTBALL IS PUMPING!  Check out @MiniFootballBsc    They are bringing the crypto and football world together ❤ ⚽️   NFTs, Fantasy Football and Top 6 exchange listing all coming soon ✅   Telegram https://t.co/n952nshzLh https://t.co/9AQC8tHLMv https://t.co/w3KXeZsPxx https://t.co/AHWDCy3p3Y",minifootbal pump check bring crypto footbal world togeth nft fantasi footbal top exchang list come soon telegram,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2023}"
"@BitCoinSusan @maxkeiser @stacyherbert Bit coin went up because the SEC is letting it go on the market so so many will take it out to put there bit coin investment on it so ,I would take it out well it's up",bit coin went becaus sec let go market mani take put bit coin invest would take well,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}"
"@PiNetworkDigi Pi Network Referral code:  Murary TimeStope witness : murary Eagle Network: Murary One Network: Murary Among Others I believe Strongly in  Pi  , TimeStope  , One Network(growing faster and faster ) and eagle Network. Be careful with Upper and Lower case Happy mining😊😊 #Crypto",pi network referr code murari timestop wit murari eagl network murari one network murari among believ strongli pi timestop one network grow faster faster eagl network care upper lower case happi mine # crypto,"{'neg': 0.06, 'neu': 0.852, 'pos': 0.088, 'compound': 0.25}"
"This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project. @md_sagor00 @wahidar0 @layon_khan #Airdrop #Crypto https://t.co/O5DxDHeUAf",thi excel project futur strong team transpar plan project roadmap successfuli alway wait progress thi project # airdrop # crypto,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.8442}"
"@HeroArena_Hera Wonderful project, this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future and the cryptocurrency will be the best. @Veer98288620  @NarendraKadwas1  @BabaNikal   #IGO #playtoearn #GameNFT #Metaverse #heroarena",wonder project thi project veri good thi projector ha lot attract hope project better futur cryptocurr best # igo # playtoearn # gamenft # metavers # heroarena,"{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.9501}"
"#Bitcoin, #Ethereum &amp; #Cardano EXIT PLAN [When To ...  https://t.co/YLQupeWgfS  #Altcoin #AltcoinDaily #BestInvestment #Binance #BitcoinBullRun #Blockchain #Crypto #Cryptocurrency #Currency #Decentralized #Litecoin #News #SatoshiStacker #Stellar #TopAltcoins #Tron https://t.co/cYs8DIfQBC",# bitcoin # ethereum amp # cardano exit plan # altcoin # altcoindaili # bestinvest # binanc # bitcoinbullrun # blockchain # crypto # cryptocurr # currenc # decentr # litecoin # new # satoshistack # stellar # topaltcoin # tron,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@cryptojumanji 💯 % is the best @Infomatix_io  $INFO #BinanceSmartChain #BSC #BSCGems #cryptocurrency https://t.co/EaziPjsxPR,best info # binancesmartchain # bsc # bscgem # cryptocurr,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}"
@anndylian @ElemonGame #Elemon great partner! best game comming soon! https://t.co/gtgkzc2rMx,# elemon great partner best game com soon,"{'neg': 0.0, 'neu': 0.376, 'pos': 0.624, 'compound': 0.8519}"
@MrDelayMK 🔥 ShibaFlokiX 🔥   ✅7% Dual Rewards (Shiba x Floki)  ✅4% AutoLP ✅4% Marketing and Development  15% Slippage  Presale is on the 15.10.21 with only 200 BNB Hardcap  https://t.co/gM0BGAmEkc,shibaflokix dual reward shiba x floki autolp market develop slippag presal onli bnb hardcap,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}"
@Mashinsky @CelsiusNetwork But not IN  The UK,uk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@Crypto_Blasters @DuelistKingNFT You said DuelistKing, one of the first blockchain powered games made for Cardano, blockchain. why did DuelistKing choose to build on the Cardano blockchain? other than Cardano, does DuelistKing plan to work with other blockchains to improve or develop the project for the better?",said duelistk one first blockchain power game made cardano blockchain whi duelistk choos build cardano blockchain cardano doe duelistk plan work blockchain improv develop project better,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4404}"
@queennKrii @cryptojumanji @crypto_stacked @pepe_promos @The_CryptoDuck Done https://t.co/qazP3vR1rf,done,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Here is my Original #TrustMeme 👇 https://t.co/lXRvesKe5K https://t.co/Rn6s5x5ju7,origin # trustmem,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@gate_io @elonmusk @ElemonGame #Elemon big project coming soon. Buy and rich 🤑🤑 https://t.co/lN9QwjYn4a,# elemon big project come soon buy rich,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}"
